kreis,einkommen
161, 25585
162, 34036
163, 24234
171, 24869
172, 24636
173, 27866
174, 27294
175, 29298
176, 25952
177, 26835
178, 26097
179, 28257
180, 26652
181, 27837
182, 32044
183, 24987
184, 33720
185, 25020
186, 26836
187, 26866
188, 37515
189, 26056
190, 26932
261, 26774
262, 22572
263, 24538
271, 25041
272, 23644
273, 25083
274, 25456
275, 23914
276, 23738
277, 24874
278, 24755
279, 25836
361, 24124
362, 24741
363, 23361
371, 24750
372, 23975
373, 25308
374, 23667
375, 25608
376, 23988
377, 24029
461, 24242
462, 22885
463, 26200
464, 21992
471, 24444
472, 24141
473, 24703
474, 25894
475, 23470
476, 24429
477, 25424
478, 23966
479, 25569
561, 23278
562, 26299
563, 24673
564, 24057
565, 27909
571, 24786
572, 28871
573, 26995
574, 27317
575, 24433
576, 26067
577, 23978
661, 25816
662, 23217
663, 25186
671, 26135
672, 24928
673, 24574
674, 23936
675, 24699
676, 24607
677, 25154
678, 24229
679, 25275
761, 21936
762, 24712
763, 23996
764, 27105
771, 26908
772, 26064
773, 25935
774, 25671
775, 25678
776, 26829
777, 25214
778, 26036
779, 26361
780, 26326
