Gemeineschluessel;Kreisschluessel;Stimmkreis;Name
161000;161;119;Ingolstadt, krfr. St
162001;162;108;Altstadt-Lehel
162002;162;109;Ludwigvorstadt-Isarvorstadt
162003;162;108;Maxvorstadt
162004;162;104;Schwabing-West
162005;162;109;Au-Haidhausen
162006;162;103;Sendling
162007;162;101;Sendling-Westpark
162008;162;109;Schwanthalerhöhe
162009;162;109;Neuhausen-Nymphenburg
162010;162;105;Moosach
162011;162;104;Milbertshofen-Am Hart
162012;162;108;Schwabing-Freimann
162013;162;102;Bogenhausen
162014;162;102;Berg am Laim
162015;162;107;Trudering-Riem
162016;162;107;Ramersdorf-Perlach
162017;162;103;Obergiesing-Fasangarten
162018;162;103;Untergiesing-Harlaching
162019;162;103;Thalkirchen-Obersendling-Forstenried-Solln
162020;162;101;Hadern
162021;162;106;Pasing-Obermenzing
162022;162;106;Aubing-Lochhausen-Langwied
162023;162;106;Allach-Untermenzing
162024;162;105;Feldmoching-Hasenbergl
162025;162;105;Laim
163000;163;127;Rosenheim, krfr. St
171111;171;110;Altötting, St
171112;171;110;Burghausen, St
171113;171;110;Burgkirchen a.d.Alz
171114;171;110;Emmerting
171115;171;110;Erlbach
171116;171;110;Feichten a.d.Alz
171117;171;110;Garching a.d.Alz
171118;171;110;Haiming
171119;171;110;Halsbach
171121;171;110;Kastl
171122;171;110;Kirchweidach
171123;171;110;Marktl, M
171124;171;110;Mehring
171125;171;110;Neuötting, St
171126;171;110;Perach
171127;171;110;Pleiskirchen
171129;171;110;Reischach
171130;171;110;Stammham
171131;171;110;Teising
171132;171;110;Töging a.Inn, St
171133;171;110;Tüßling, M
171134;171;110;Tyrlaching
171135;171;110;Unterneukirchen
171137;171;110;Winhöring
172111;172;112;Ainring
172112;172;112;Anger
172114;172;112;Bad Reichenhall, GKSt
172115;172;112;Bayerisch Gmain
172116;172;112;Berchtesgaden, M
172117;172;112;Bischofswiesen
172118;172;112;Freilassing, St
172122;172;112;Laufen, St
172124;172;112;Marktschellenberg, M
172128;172;112;Piding
172129;172;112;Ramsau b.Berchtesgaden
172130;172;112;Saaldorf-Surheim
172131;172;112;Schneizlreuth
172132;172;112;Schönau a.Königssee
